chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	497	525	1	1:1:1:1	0.5:1:1:1	1:1:1:1	1:1:1:1	0.99:0.89:0.89:0.98	0.6:0.96:0.98:0.94	0.97:1:0.96:0.96	0.97:0.95:0.96:0.98	1:1:0.97:1	0.9:1:1:1	1:1:1:1	1:1:1:1	0.0661	EM	EM	1	126.25	158.5
chr1	525	542	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.97:1:0.96:0.96	0.97:0.95:0.96:0.98	0.94:1:0.98:0.93	0.94:0.99:0.95:0.91	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0069	EM	EM	2	126.75	159.5
chr1	542	NA	1	1:1:1:1	1:1:1:1	NA	NA	0.94:1:0.98:0.93	0.94:0.99:0.95:0.91	NA	NA	1:1:1:1	1:1:1:1	NA	NA	0.0162	EM	EM	3	113.75	138.5
chr1	126983	127020	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.95:0.82:0.97	0.95:0.86:1:0.82	1:0.86:0.88:0.88	0.95:0.86:0.88:0.85	1:1:1:1	1:1:1:1	1:0.97:1:1	1:1:1:1	0.0255	EM	EM	4	32.75	42.75
chr1	127020	127032	1	1:1:1:1	1:1:1:1	0:0:0:0	0.5:0:0:0	1:0.86:0.88:0.88	0.95:0.86:0.88:0.85	0.11:0.06:0:0.04	0.56:0:0:0	1:0.97:1:1	1:1:1:1	0.9:0.97:0.97:1	0.8:1:1:0.97	0.0177	EM	EM	5	33	42.75
chr1	127032	NA	1	0:0:0:0	0.5:0:0:0	NA	NA	0.11:0.06:0:0.04	0.56:0:0:0	NA	NA	0.9:0.97:0.97:1	0.8:1:1:0.97	NA	NA	-0.0881	EM	EM	6	28.75	34
chr1	535890	535893	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:0.99:1	1:1:1:0.99	0.98:0.87:0.96:0.98	0.93:1:0.95:0.97	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0012	EM	EM	7	109.5	85.5
chr1	535893	535897	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.98:0.87:0.96:0.98	0.93:1:0.95:0.97	0.92:1:0.87:0.96	1:0.97:0.77:0.94	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0161	EM	EM	8	109.75	85.75
chr1	535897	535899	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.92:1:0.87:0.96	1:0.97:0.77:0.94	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0158	EM	EM	9	109.75	85.75
chr1	535899	535921	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.96:0.93:0.94:0.96	0.88:1:0.96:0.94	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	10	109.75	85.75
chr1	535921	535924	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.96:0.93:0.94:0.96	0.88:1:0.96:0.94	1:0.79:0.99:0.97	0.96:0.95:0.92:0.99	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.002	EM	EM	11	109.25	85.25
chr1	535924	535958	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.79:0.99:0.97	0.96:0.95:0.92:0.99	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0206	EM	EM	12	109	85.25
chr1	535958	535961	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.99:0.98:0.97:0.96	1:0.95:0.99:0.98	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	13	62.5	78.25
chr1	535961	535965	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.99:0.98:0.97:0.96	1:0.95:0.99:0.98	0.99:0.96:1:1	0.94:0.98:0.97:0.95	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0089	EM	EM	14	62.5	78.25
chr1	535965	535989	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.99:0.96:1:1	0.94:0.98:0.97:0.95	0.99:0.91:1:0.96	1:0.92:0.77:0.93	1:1:1:1	1:1:1:1	1:1:1:1	0.97:1:1:1	0.0252	EM	EM	15	62.5	78.25
chr1	535989	535992	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.99:0.91:1:0.96	1:0.92:0.77:0.93	1:0.98:1:1	1:1:0.89:0.98	1:1:1:1	0.97:1:1:1	1:1:1:1	1:1:1:1	0.0599	EM	EM	16	62.25	77.5
chr1	535992	NA	1	1:1:1:1	1:1:1:1	NA	NA	1:0.98:1:1	1:1:0.89:0.98	NA	NA	1:1:1:1	1:1:1:1	NA	NA	0.0263	EM	EM	17	62.5	77.25
chr1	652520	652541	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.98:0.91:0.97	0.94:0.95:0.98:0.99	1:0.89:0.63:0.95	1:0.96:0.86:0.84	1:1:1:1	1:1:1:1	1:1:0.77:1	1:1:1:1	9e-04	EM	EM	18	74.75	78.25
chr1	652541	652555	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	1:0.89:0.63:0.95	1:0.96:0.86:0.84	0.97:0.98:0.89:0.95	0.89:0.94:0.92:0.93	1:1:0.77:1	1:1:1:1	1:1:1:1	1:1:0.97:1	-0.0499	EM	EM	19	75.5	78.5
chr1	652555	652557	1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.97:0.98:0.89:0.95	0.89:0.94:0.92:0.93	0.96:0.96:0.74:0.96	0.89:0.89:0.84:0.79	1:1:1:1	1:1:0.97:1	1:1:0.93:1	1:1:0.93:1	0.03	EM	EM	20	75.5	78.5
chr1	652557	652569	1	1:1:1:1	1:1:1:1	0:0:0:0	0:0:0:0	0.96:0.96:0.74:0.96	0.89:0.89:0.84:0.79	0:0:0:0	0:0.01:0.01:0.02	1:1:0.93:1	1:1:0.93:1	1:1:0.97:1	0.93:1:0.97:1	0.0547	EM	EM	21	75.5	78
chr1	652569	NA	1	0:0:0:0	0:0:0:0	NA	NA	0:0:0:0	0:0.01:0.01:0.02	NA	NA	1:1:0.97:1	0.93:1:0.97:1	NA	NA	-0.0105	EM	EM	22	58.5	61
chr1	703239	703251	0.0769	1:1:1:1	0.5:0.5:1:0	1:1:1:1	1:1:1:0	1:1:0.75:1	0.67:0.67:1:0	1:0.9:1:1	0.89:0.92:1:0	1:1:0.93:1	0.6:0.57:1:1	1:1:0.97:1	0.83:1:1:1	0.3541	EM	EM	23	15.75	7
chr1	703251	703263	0.0769	1:1:1:1	1:1:1:0	1:1:1:1	0.5:1:0.5:0	1:0.9:1:1	0.89:0.92:1:0	0.77:0.9:0.75:0.76	0.56:0.83:0.33:0	1:1:0.97:1	0.83:1:1:1	1:1:0.97:0.97	1:0.93:0.6:1	0.2736	EM	EM	24	16	7
chr1	703263	NA	1	1:1:1:1	0.5:1:0.5:0	NA	NA	0.77:0.9:0.75:0.76	0.56:0.83:0.33:0	NA	NA	1:1:0.97:0.97	1:0.93:0.6:1	NA	NA	0.3635	EM	EM	25	16	7
chr1	704117	704121	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.03	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0083	EM	EM	26	21.5	24.5
chr1	704121	704124	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	27	21.5	24.5
chr1	704124	704127	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	28	21.5	24.5
chr1	704127	704140	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	29	21.5	24.5
chr1	704140	704155	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	30	21.5	24.5
chr1	704155	704163	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.12:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	31	21	24
chr1	704163	NA	1	0:0:0:0	0:0:0:0	NA	NA	0:0:0:0	0.12:0:0:0	NA	NA	1:1:1:1	1:1:1:1	NA	NA	-0.0312	EM	EM	32	16.75	18.25
chr1	704395	704406	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	33	13.75	18.75
chr1	704406	704409	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	34	14	19
chr1	704409	704428	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	35	14	19
chr1	704428	NA	1	0:0:0:0	0:0:0:0	NA	NA	0:0:0:0	0:0:0:0	NA	NA	1:1:1:1	1:1:1:1	NA	NA	0	EM	EM	36	14	19
chr1	752532	752542	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0.03:0:0	0:0.04:0.04:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	-0.0105	EM	EM	37	34.25	42.75
chr1	752542	752561	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	38	34.5	43
chr1	752561	752571	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	39	31.5	40
chr1	752571	752656	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.01:0:0.01:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	40	33.5	41.75
chr1	752656	752669	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0.01:0:0.01:0	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0049	EM	EM	41	126.5	89.5
chr1	752669	752672	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.01	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	42	126.75	89.75
chr1	752672	752688	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.01	0:0:0:0	0:0:0:0.01	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0015	EM	EM	43	126.75	89.75
chr1	752688	752760	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.01	0:0:0:0	0:0:0:0	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.0016	EM	EM	44	119.25	82
chr1	752760	752775	1	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0	0:0:0:0.02	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0	EM	EM	45	123.25	99
