chr	start	end	len	DM	num.CG	total.CG	meanCov.test	meanCov.control	meanDiff
chr1	795361	795361	1	hyper	1	1	69	70.25	0.4652
chr1	848868	848873	6	hyper	2	2	25.12	30.62	0.4272
chr1	851081	851123	43	hyper	5	5	5.45	8.1	0.6126
chr1	858338	858368	31	hyper	2	2	22.25	12	0.5629
chr1	909746	909746	1	hyper	1	1	38.75	45	0.3636
chr1	923518	923611	94	hyper	13	13	22.63	28.04	0.4471
chr1	923775	923789	15	hyper	2	2	9.25	15.75	0.4849
chr1	923850	923850	1	hyper	1	1	19	28.75	0.479
chr1	992482	992527	46	hyper	2	2	49.12	33	0.3204
chr1	993162	993180	19	hyper	4	4	101.12	79.75	0.4974
chr1	994812	994812	1	hyper	1	1	15.25	30.25	0.4821
chr1	995053	995053	1	hyper	1	1	70.5	53.75	0.6325
chr1	997296	997296	1	hyper	1	1	12.25	11.25	0.4625
chr1	997470	997486	17	hyper	4	4	6.75	19.25	0.4878
chr1	997716	997804	89	hyper	7	7	73.89	39.04	0.4941
chr1	997954	998098	145	hyper	6	7	60.83	34.88	0.5283
chr1	1048422	1048422	1	hyper	1	1	7	3.5	0.4358
chr1	1048497	1048501	5	hyper	2	2	8.75	11.75	0.4776
chr1	1050334	1050374	41	hyper	4	4	67.06	56.56	0.5509
chr1	1058351	1058351	1	hyper	1	1	94.5	71.75	0.3862
chr1	1061913	1061991	79	hyper	4	6	9.25	9.31	0.4699
chr1	1062332	1062371	40	hyper	6	6	36.33	63.08	0.5087
chr1	1063404	1063404	1	hyper	1	1	62.75	38.75	0.6428
chr1	1088401	1088436	36	hyper	3	3	54.17	43.42	0.4833
chr1	1088650	1088650	1	hyper	1	1	20.5	20.5	0.5706
chr1	1088986	1089296	311	hyper	19	20	71.88	44.21	0.5514
chr1	1089821	1089868	48	hyper	6	6	86.38	53.38	0.5779
chr1	1089933	1089933	1	hyper	1	1	71.75	50.5	0.4769
chr1	1090719	1090719	1	hyper	1	1	126	83.75	0.3889
chr1	1090869	1090869	1	hyper	1	1	52	52.75	0.5995
chr1	1091107	1091107	1	hyper	1	1	84.75	70	0.5126
chr1	1091205	1091205	1	hyper	1	1	90.75	56.5	0.3757
chr1	1131422	1131422	1	hyper	1	1	15.75	10.75	0.6143
chr1	1132435	1132435	1	hyper	1	1	124.25	77	0.4207
chr1	1162876	1162876	1	hyper	1	1	49	42.5	0.4597
chr1	1163219	1163219	1	hyper	1	1	64	44	0.3284
chr1	1165248	1165248	1	hyper	1	1	6.5	3.25	0.302
chr1	1216989	1216998	10	hyper	2	2	8.75	21	0.6682
chr1	1217316	1217316	1	hyper	1	1	42.25	45.25	0.4524
chr1	1280408	1280408	1	hyper	1	1	9.25	16	0.5036
chr1	1280896	1280896	1	hyper	1	1	21.25	24.5	0.4035
chr1	1352818	1352855	38	hyper	9	9	31.56	28.42	0.5326
chr1	1353006	1353006	1	hyper	1	1	29.5	38.25	0.3661
chr1	1353053	1353143	91	hyper	12	14	12.17	16.13	0.4399
chr1	1831132	1831139	8	hyper	2	2	40.75	44	0.534
chr1	1940767	1940780	14	hyper	3	3	8.58	11.5	0.534
chr1	1940954	1940993	40	hyper	6	7	18.38	31.54	0.5606
chr1	1972863	1972932	70	hyper	5	5	27.55	34.4	0.4968
chr1	1973045	1973045	1	hyper	1	1	38.5	38.25	0.4262
chr1	2026513	2026513	1	hyper	1	1	25	33.5	0.4835
chr1	2193427	2193427	1	hyper	1	1	24.75	22.5	0.3418
chr1	2234379	2234379	1	hyper	1	1	29.25	35.5	0.3491
chr1	2236722	2236722	1	hyper	1	1	8.75	12.25	0.5167
chr1	1126320	1126320	1	hypo	1	1	34.75	24.75	-0.3266
chr1	1864765	1864765	1	hypo	1	1	24	15	-0.5382
chr1	1907235	1907246	12	hypo	2	3	56.25	38.75	-0.3026
chr1	1957781	1957781	1	hypo	1	1	9	7.25	-0.3944
chr1	2243645	2243645	1	hypo	1	1	43.5	42.25	-0.4489
chr1	2243710	2243744	35	hypo	5	5	18.15	18.65	-0.5163
chr1	2373065	2373065	1	hypo	1	1	15	21.75	-0.4574
