chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	795361	795363	0.0014	1:0:1:0.5	0:0:0:0	1:0.5:1:1	0:0:0:0	0.76:0.02:0.7:0.51	0.1:0.03:0.01:0	0.66:0.32:0.82:0.72	0.22:0.24:0.04:0	0.8:1:0.77:1	1:1:1:1	0.53:0.57:1:0.53	0.97:0.93:1:1	0.4652	hyper	hyper	74	69	70.25
chr1	848868	848873	0.0256	0.5:0:0:1	0:0:0:0	1:0.5:0:1	0:0:0:0	0.59:0.2:0.11:0.85	0.08:0.15:0.02:0	0.9:0.47:0.28:0.89	0.18:0.33:0.11:0	0.97:0.93:1:1	1:0.97:1:1	0.97:0.73:1:0.97	1:0.87:1:1	0.3758	hyper	hyper	161	25.5	31
chr1	848873	848889	0.0256	1:0.5:0:1	0:0:0:0	1:0:0:1	0:0:0:0	0.9:0.47:0.28:0.89	0.18:0.33:0.11:0	0.8:0:0:0.71	0:0.1:0:0	0.97:0.73:1:0.97	1:0.87:1:1	0.9:1:1:0.67	1:1:1:1	0.4785	hyper	hyper	162	24.75	30.25
chr1	851081	851104	2e-04	1:0.5:0.5:0.5	0:0:0:0	1:0.5:1:1	0:0:0:0	1:0.67:0.64:0.4	0.11:0.09:0:0	1:0.33:1:1	0.11:0.27:0:0	1:1:0.9:0.93	1:1:1:1	1:0.97:1:1	1:0.77:1:1	0.6253	hyper	hyper	252	5.5	8.75
chr1	851104	851113	0.0025	1:0.5:1:1	0:0:0:0	1:0.5:1:1	0:1:0:0	1:0.33:1:1	0.11:0.27:0:0	1:0.33:1:0.8	0.14:0.73:0:0	1:0.97:1:1	1:0.77:1:1	1:0.87:1:1	1:0.7:1:1	0.7374	hyper	hyper	253	5.5	9
chr1	851113	851115	0.0406	1:0.5:1:1	0:1:0:0	1:0:1:1	0:1:0:0	1:0.33:1:0.8	0.14:0.73:0:0	1:0:0.91:1	0:0.8:0.08:0	1:0.87:1:1	1:0.7:1:1	1:0.87:1:1	1:0.93:1:1	0.5658	hyper	hyper	254	5.5	8.25
chr1	851115	851123	0.0406	1:0:1:1	0:1:0:0	1:0.5:1:1	0:1:0:0	1:0:0.91:1	0:0.8:0.08:0	1:0.67:0.73:1	0:0.89:0:0	1:0.87:1:1	1:0.93:1:1	1:0.93:1:1	1:1:1:1	0.508	hyper	hyper	255	5.5	7.75
chr1	851123	851128	0.0406	1:0.5:1:1	0:1:0:0	1:0:1:1	0:1:0:0	1:0.67:0.73:1	0:0.89:0:0	1:0:0.88:1	0:0.86:0:0	1:0.93:1:1	1:1:1:1	1:0.97:1:1	1:1:1:1	0.6263	hyper	hyper	256	5.25	6.75
chr1	858338	858368	0.007	0:1:0.5:1	0:0:0:0	0:1:1:1	0:0:0:0	0.04:0.91:0.55:0.9	0.11:0:0.18:0	0.17:0.91:0.84:0.93	0.17:0:0.29:0	0.97:1:0.8:1	1:1:1:1	1:1:1:1	1:1:1:1	0.5268	hyper	hyper	273	22.25	12
chr1	858368	858379	0.007	0:1:1:1	0:0:0:0	0:1:1:1	0:0:0:0	0.17:0.91:0.84:0.93	0.17:0:0.29:0	0.07:0.88:1:0.72	0.07:0:0.27:0	1:1:1:1	1:1:1:1	1:1:1:0.9	1:1:1:1	0.599	hyper	hyper	274	22.25	12
chr1	909746	909772	0.0406	0:0.5:0.5:0.5	0:0:0:0	0.5:0.5:1:0.5	0.5:0.5:0:0	0.26:0.43:0.39:0.46	0.03:0.04:0.01:0	0.45:0.5:0.85:0.76	0.59:0.5:0.14:0.1	0.67:1:0.87:1	1:1:1:1	0.7:1:0.87:0.73	0.97:0.93:1:1	0.3636	hyper	hyper	693	38.75	45
chr1	923518	923535	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	0.9:0.87:0.95:0.96	0:0.41:0.64:0.93	0.95:0.89:0.95:0.86	0:0.56:0.65:0.89	1:0.93:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.4265	hyper	hyper	709	38	34.25
chr1	923535	923545	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	0.95:0.89:0.95:0.86	0:0.56:0.65:0.89	1:0.94:0.92:0.89	0:0.41:0.41:0.9	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.39	hyper	hyper	710	38	34.5
chr1	923545	923548	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.94:0.92:0.89	0:0.41:0.41:0.9	0.91:0.69:0.94:1	0:0.52:0.6:0.65	1:1:1:1	1:1:1:1	1:0.7:1:1	1:1:1:0.63	0.5092	hyper	hyper	711	30	26.75
chr1	923548	923554	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	0.91:0.69:0.94:1	0:0.52:0.6:0.65	0.88:0.67:0.97:0.81	0:0.29:0.56:0.76	1:0.7:1:1	1:1:1:0.63	1:0.7:1:1	1:1:1:0.9	0.442	hyper	hyper	712	26	25.75
chr1	923554	923560	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	0.88:0.67:0.97:0.81	0:0.29:0.56:0.76	1:0.96:1:1	0:0.69:0.7:0.88	1:0.7:1:1	1:1:1:0.9	1:1:1:1	1:0.93:0.97:1	0.4262	hyper	hyper	713	22.75	22.25
chr1	923560	923563	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.96:1:1	0:0.69:0.7:0.88	1:0.73:0.89:0.81	0:0.23:0.46:0.65	1:1:1:1	1:0.93:0.97:1	1:0.97:1:1	1:0.97:1:0.87	0.4204	hyper	hyper	714	21	21
chr1	923563	923575	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.73:0.89:0.81	0:0.23:0.46:0.65	0.94:0.88:0.94:0.94	0.03:0.43:0.69:1	1:0.97:1:1	1:0.97:1:0.87	1:1:1:1	1:1:0.97:1	0.5221	hyper	hyper	715	20.75	20.75
chr1	923575	923582	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	0.94:0.88:0.94:0.94	0.03:0.43:0.69:1	1:0.88:1:0.81	0:0.43:0.46:0.92	1:1:1:1	1:1:0.97:1	1:1:1:1	1:1:1:1	0.3863	hyper	hyper	716	16.5	30.5
chr1	923582	923601	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.88:1:0.81	0:0.43:0.46:0.92	1:0.88:0.88:0.88	0:0.37:0.67:0.92	1:1:1:1	1:1:1:1	1:1:1:1	1:1:0.97:1	0.4686	hyper	hyper	717	16.5	30.5
chr1	923601	923607	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.88:0.88:0.88	0:0.37:0.67:0.92	1:0.94:1:0.94	0:0.62:0.26:0.92	1:1:1:1	1:1:0.97:1	1:1:1:1	1:1:1:1	0.4194	hyper	hyper	718	16.5	30
chr1	923607	923609	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.94:1:0.94	0:0.62:0.26:0.92	1:0.94:1:0.88	0.03:0.65:0.34:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.5194	hyper	hyper	719	16.25	29.5
chr1	923609	923611	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.94:1:0.88	0.03:0.65:0.34:1	1:1:0.88:0.93	0:0.74:0.34:1	1:1:1:1	1:1:1:1	1:1:1:1	1:1:0.93:1	0.4485	hyper	hyper	720	16.25	29.5
chr1	923611	923617	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:1:0.88:0.93	0:0.74:0.34:1	1:0.93:1:0.77	0:0.62:0.31:1	1:1:1:1	1:1:0.93:1	1:1:1:0.93	1:1:0.73:1	0.4334	hyper	hyper	721	15.75	29.25
chr1	923775	923789	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.75:1:1	0:0.43:0.31:1	1:0.75:1:0.93	0:0.43:0.38:1	1:0.73:1:1	1:1:0.8:1	1:0.9:1:1	1:1:1:1	0.5034	hyper	hyper	724	9.25	15.75
chr1	923789	923804	0.007	1:1:1:1	0:0.5:0.5:1	1:1:1:1	0:0.5:0.5:1	1:0.75:1:0.93	0:0.43:0.38:1	1:1:0.92:0.86	0.08:0.72:0.5:1	1:0.9:1:1	1:1:1:1	1:1:1:1	1:0.83:1:1	0.4664	hyper	hyper	725	9.25	15.75
chr1	923850	923875	0.0056	1:0.5:1:0.5	0:0:0:0.5	1:0.5:1:0.5	0:0:0:0.5	1:0.54:0.9:0.7	0:0.14:0.32:0.77	0.92:0.46:0.85:0.43	0:0.08:0.09:0.46	1:1:1:0.93	1:1:0.97:0.67	1:1:1:1	1:1:1:0.97	0.479	hyper	hyper	728	19	28.75
chr1	992482	992527	0.007	1:1:1:1	0.5:0.5:0:1	1:1:1:1	0.5:0.5:0:1	0.96:0.62:0.98:0.96	0.51:0.57:0.15:1	0.86:1:0.96:0.93	0.52:0.66:0.39:0.92	1:0.7:1:1	1:1:0.87:1	1:1:1:1	1:1:0.67:1	0.3208	hyper	hyper	1247	55	36.25
chr1	992527	992530	0.007	1:1:1:1	0.5:0.5:0:1	1:1:1:1	0.5:0.5:0:1	0.86:1:0.96:0.93	0.52:0.66:0.39:0.92	0.97:0.88:0.98:0.96	0.31:0.49:0.09:0.89	1:1:1:1	1:1:0.67:1	1:1:1:1	0.67:1:1:1	0.3201	hyper	hyper	1248	43.25	29.75
